timestamp,valley,lat,lon,risk_level,score
2026-06-29T17:45:16.952948+00:00,Hunza_Gojal,36.45,74.85,WATCH,5.9
2026-06-29T17:45:16.952948+00:00,Gulmit_Gulkin,36.38,74.86,WATCH,7.6
2026-06-29T17:45:16.952948+00:00,Ishkoman,36.75,73.85,NORMAL,0.0
2026-06-29T17:45:16.952948+00:00,Yasin,36.45,73.32,NORMAL,1.4
2026-06-29T17:45:16.952948+00:00,Shigar,35.43,75.73,WATCH,4.5
2026-06-29T17:45:16.952948+00:00,Reshun_Chitral,36.15,72.15,NORMAL,1.4
2026-06-29T17:45:16.952948+00:00,Brep_Yarkhun,36.37,72.35,WATCH,4.5
2026-06-29T17:45:16.952948+00:00,Kumrat,35.55,72.23,NORMAL,1.4
